name,amount,date,category,type,status
Bills,9487,2025-02-21,Bills,credit,failed
Travel,7899,2025-03-04,Travel,credit,failed
Food,9631,2024-04-13,Food,debit,success
Bills,462,2024-07-10,Bills,debit,failed
Shopping,155,2024-09-05,Shopping,credit,success
Shopping,878,2024-11-22,Shopping,credit,success
Bills,7194,2024-02-03,Bills,debit,success
Health,355,2024-08-13,Health,credit,success
Shopping,9872,2024-03-24,Shopping,credit,failed
Food,2217,2024-06-22,Food,debit,failed
Salary,60996,2024-01-10,Salary,credit,success
Bills,811,2025-03-29,Bills,debit,failed
Food,7866,2024-10-03,Food,debit,failed
Food,1708,2024-09-02,Food,debit,success
Health,5437,2025-02-25,Health,credit,success
Travel,2796,2025-03-30,Travel,credit,failed
Shopping,4760,2024-02-26,Shopping,credit,failed
Bills,5505,2024-01-29,Bills,credit,success
Health,8817,2025-01-29,Health,credit,success
Bills,442,2024-08-05,Bills,debit,failed
Food,1914,2024-05-23,Food,credit,success
Bills,5477,2025-03-14,Bills,credit,success
Health,8616,2024-03-19,Health,credit,failed
Food,9301,2024-07-28,Food,debit,success
Entertainment,8157,2024-03-25,Entertainment,debit,failed
Food,2208,2025-01-08,Food,debit,failed
Food,6898,2024-10-15,Food,debit,success
Shopping,4317,2024-09-21,Shopping,debit,failed
Transfer,8179,2024-06-15,Transfer,credit,success
Travel,478,2024-08-29,Travel,debit,failed
Salary,53223,2024-12-27,Salary,credit,failed
Shopping,1889,2025-01-23,Shopping,debit,failed
Shopping,2764,2024-10-01,Shopping,debit,success
Entertainment,7517,2024-11-29,Entertainment,credit,success
Shopping,8590,2024-05-16,Shopping,credit,success
Salary,74496,2024-10-26,Salary,credit,success
Bills,2415,2024-06-16,Bills,debit,failed
Travel,1972,2024-06-17,Travel,credit,failed
Salary,35196,2024-03-02,Salary,credit,failed
Salary,65936,2024-10-06,Salary,credit,success
Transfer,5570,2025-01-04,Transfer,credit,failed
Entertainment,1090,2024-10-28,Entertainment,credit,failed
Travel,709,2024-02-28,Travel,debit,success
Entertainment,9236,2024-09-23,Entertainment,credit,failed
Health,8546,2025-01-04,Health,credit,failed
Food,141,2024-09-08,Food,credit,success
Entertainment,5187,2024-03-15,Entertainment,credit,success
Transfer,8857,2024-03-23,Transfer,credit,failed
Transfer,8828,2025-01-03,Transfer,debit,failed
Food,1874,2025-02-16,Food,credit,failed
Health,9626,2025-01-10,Health,debit,failed
Bills,6113,2024-02-24,Bills,credit,failed
Salary,65435,2024-10-10,Salary,credit,success
Shopping,816,2025-02-16,Shopping,credit,success
Shopping,8978,2025-02-25,Shopping,debit,success
Entertainment,9562,2024-08-26,Entertainment,credit,success
Bills,5940,2024-12-12,Bills,debit,failed
Bills,8829,2024-09-06,Bills,debit,success
Travel,9070,2024-03-01,Travel,credit,success
Health,1362,2024-09-24,Health,debit,success
Travel,6286,2024-12-29,Travel,debit,success
Food,1678,2024-08-31,Food,credit,success
Health,4945,2024-10-19,Health,credit,failed
Shopping,4980,2024-02-12,Shopping,debit,failed
Bills,722,2024-08-26,Bills,debit,success
Transfer,4784,2024-11-26,Transfer,debit,failed
Shopping,5510,2024-11-04,Shopping,debit,failed
Transfer,6438,2025-01-19,Transfer,credit,success
Travel,1169,2024-01-29,Travel,credit,failed
Health,3782,2024-05-14,Health,debit,success
Food,6626,2025-03-08,Food,credit,failed
Bills,2884,2025-01-05,Bills,credit,failed
Entertainment,8827,2025-03-30,Entertainment,credit,success
Entertainment,5413,2024-12-06,Entertainment,debit,success
Transfer,8323,2024-04-06,Transfer,debit,success
Shopping,9214,2024-06-13,Shopping,debit,success
Health,3206,2024-01-30,Health,debit,success
Salary,66248,2025-02-24,Salary,credit,success
Travel,9854,2024-05-30,Travel,debit,success
Health,427,2024-09-20,Health,debit,failed
Food,4626,2024-04-24,Food,debit,failed
Health,6405,2024-04-21,Health,debit,success
Food,6399,2024-06-10,Food,credit,failed
Travel,3545,2024-06-06,Travel,credit,success
Salary,42253,2025-01-16,Salary,credit,success
Entertainment,758,2024-04-02,Entertainment,debit,success
Salary,70307,2025-02-20,Salary,credit,failed
Health,4373,2025-03-11,Health,debit,success
Shopping,6039,2024-08-21,Shopping,debit,failed
Shopping,8323,2025-01-12,Shopping,credit,success
Salary,51174,2024-03-06,Salary,credit,success
Travel,140,2024-02-28,Travel,credit,failed
Salary,34855,2025-02-15,Salary,credit,success
Bills,6018,2025-03-02,Bills,debit,success
Shopping,4590,2024-08-23,Shopping,debit,success
Shopping,9238,2024-09-05,Shopping,credit,failed
Health,2961,2024-12-06,Health,credit,failed
Travel,4832,2024-03-11,Travel,credit,failed
Shopping,8306,2024-11-06,Shopping,credit,success
Bills,5401,2024-12-18,Bills,credit,failed
Shopping,2288,2024-09-01,Shopping,credit,success
Health,6595,2024-10-21,Health,credit,failed
Entertainment,3174,2024-04-10,Entertainment,debit,success
Food,3950,2024-04-02,Food,credit,success
Transfer,5873,2024-04-20,Transfer,debit,failed
Shopping,9741,2024-01-01,Shopping,debit,failed
Transfer,6177,2024-10-30,Transfer,debit,failed
Food,2529,2024-07-31,Food,debit,failed
Bills,2222,2024-10-26,Bills,credit,failed
Food,9688,2025-02-24,Food,debit,failed
Transfer,4909,2024-08-27,Transfer,credit,success
Bills,2209,2025-01-04,Bills,debit,failed
Entertainment,9426,2024-11-19,Entertainment,credit,success
Salary,32664,2025-02-06,Salary,credit,failed
Transfer,1954,2024-05-24,Transfer,credit,failed
Bills,9414,2024-09-04,Bills,debit,failed
Food,9312,2024-06-13,Food,debit,success
Entertainment,3551,2025-02-05,Entertainment,credit,success
Bills,8753,2024-06-27,Bills,credit,success
Food,9027,2024-09-26,Food,credit,success
Transfer,8017,2024-09-24,Transfer,debit,success
Transfer,7862,2024-04-02,Transfer,debit,failed
Bills,7225,2025-01-19,Bills,debit,failed
Bills,4260,2024-06-24,Bills,debit,failed
Travel,649,2024-07-27,Travel,debit,success
Transfer,4693,2024-08-16,Transfer,debit,success
Bills,7909,2024-01-10,Bills,credit,failed
Food,913,2024-11-14,Food,credit,success
Travel,5504,2024-10-24,Travel,credit,success
Shopping,6326,2024-06-11,Shopping,debit,success
Transfer,3228,2025-02-04,Transfer,debit,success
Bills,6211,2025-02-22,Bills,credit,failed
Travel,2969,2025-02-15,Travel,credit,failed
Salary,46687,2024-10-15,Salary,credit,success
Health,5441,2024-06-10,Health,debit,success
Bills,3200,2024-05-27,Bills,credit,failed
Bills,6073,2024-10-11,Bills,credit,success
Entertainment,3711,2025-01-01,Entertainment,credit,success
Travel,2877,2024-06-28,Travel,credit,success
Health,3418,2024-07-01,Health,credit,success
Health,1134,2024-03-18,Health,debit,failed
Food,8763,2025-03-29,Food,credit,failed
Health,2217,2024-07-12,Health,debit,success
Health,9619,2025-02-12,Health,credit,failed
Bills,1623,2024-10-04,Bills,credit,failed
Bills,7785,2024-06-30,Bills,credit,failed
Food,6932,2024-07-04,Food,debit,success
Food,9582,2024-12-06,Food,debit,success
Bills,4988,2024-12-03,Bills,debit,failed
Food,263,2024-11-28,Food,debit,failed
Salary,75247,2024-03-24,Salary,credit,failed
Food,2530,2024-07-17,Food,debit,success
Salary,46434,2024-12-09,Salary,credit,failed
Salary,58073,2024-11-17,Salary,credit,success
Transfer,1450,2024-05-26,Transfer,credit,failed
Entertainment,7258,2025-02-26,Entertainment,debit,failed
Entertainment,3016,2024-05-21,Entertainment,debit,failed
Bills,9076,2024-03-14,Bills,debit,failed
Salary,34649,2024-03-18,Salary,credit,success
Transfer,3399,2024-03-23,Transfer,debit,success
Bills,9652,2024-05-03,Bills,credit,success
Bills,6895,2024-04-25,Bills,credit,success
Transfer,5760,2024-04-29,Transfer,credit,failed
Travel,5222,2025-03-10,Travel,credit,failed
Shopping,1768,2024-12-07,Shopping,credit,success
Health,7617,2024-02-22,Health,credit,success
Travel,7832,2024-01-23,Travel,credit,success
Travel,8684,2025-03-04,Travel,debit,failed
Food,5078,2024-10-02,Food,debit,success
Transfer,5749,2024-02-21,Transfer,debit,success
Shopping,669,2024-05-23,Shopping,debit,success
Entertainment,6670,2024-07-19,Entertainment,debit,failed
Salary,55203,2024-06-23,Salary,credit,success
Travel,9968,2024-02-12,Travel,debit,success
Transfer,1953,2024-06-13,Transfer,debit,failed
Transfer,7699,2024-12-15,Transfer,debit,failed
Entertainment,8608,2024-08-31,Entertainment,credit,failed
Transfer,4614,2024-11-21,Transfer,credit,failed
Salary,75877,2024-12-27,Salary,credit,success
Food,5979,2024-09-28,Food,debit,success
Food,6942,2024-08-25,Food,debit,failed
Shopping,3041,2024-03-15,Shopping,debit,failed
Travel,1371,2024-07-07,Travel,debit,success
Entertainment,5524,2024-10-10,Entertainment,debit,success
Salary,34169,2024-10-03,Salary,credit,success
Shopping,6936,2024-08-12,Shopping,credit,failed
Shopping,3181,2024-12-12,Shopping,credit,failed
Bills,1047,2024-01-02,Bills,credit,failed
Entertainment,3153,2024-07-10,Entertainment,credit,failed
Entertainment,6922,2024-02-13,Entertainment,credit,failed
Travel,9347,2024-08-01,Travel,credit,failed
Food,590,2024-10-08,Food,debit,success
Transfer,3733,2025-01-28,Transfer,debit,failed
Transfer,5679,2024-06-01,Transfer,credit,failed
Health,3958,2024-11-20,Health,credit,success
Transfer,955,2024-01-12,Transfer,debit,failed
Entertainment,4312,2024-11-12,Entertainment,credit,success
Salary,35130,2025-02-25,Salary,credit,failed
Salary,40592,2024-09-03,Salary,credit,success
Entertainment,3264,2025-03-26,Entertainment,debit,failed
Salary,78032,2024-04-06,Salary,credit,failed
Shopping,5792,2024-03-07,Shopping,debit,success
Transfer,1747,2024-09-23,Transfer,credit,success
Food,9290,2024-12-28,Food,debit,success
Shopping,4538,2024-07-02,Shopping,debit,success
Health,9677,2024-08-20,Health,credit,success
Shopping,7417,2024-03-20,Shopping,debit,success
Travel,2426,2024-04-24,Travel,credit,failed
Travel,8396,2024-06-14,Travel,debit,success
Travel,3200,2024-04-01,Travel,debit,success
Transfer,3142,2024-10-22,Transfer,debit,success
Shopping,6493,2024-02-12,Shopping,debit,success
Health,8159,2025-01-21,Health,credit,success
Health,8404,2025-03-01,Health,debit,success
Shopping,3492,2024-10-10,Shopping,credit,failed
Travel,2339,2024-11-29,Travel,debit,success
Travel,218,2025-02-13,Travel,debit,success
Entertainment,8533,2024-01-22,Entertainment,credit,failed
Shopping,8466,2024-06-06,Shopping,debit,failed
Food,705,2024-11-09,Food,debit,failed
Shopping,8953,2024-02-16,Shopping,debit,success
Travel,2458,2024-08-06,Travel,credit,success
Shopping,642,2024-03-28,Shopping,credit,success
Health,6158,2024-03-07,Health,debit,failed
Health,6647,2024-07-08,Health,credit,failed
Travel,8378,2024-04-12,Travel,credit,failed
Food,5231,2024-04-23,Food,credit,failed
Food,7418,2024-11-15,Food,debit,failed
Health,3006,2024-01-16,Health,credit,success
Health,5520,2024-11-13,Health,debit,failed
Salary,44520,2024-05-27,Salary,credit,failed
Food,3122,2024-07-21,Food,credit,success
Salary,37694,2024-08-05,Salary,credit,success
Entertainment,2292,2024-03-11,Entertainment,credit,failed
Transfer,1010,2024-11-04,Transfer,debit,success
Food,7797,2024-11-17,Food,debit,failed
Transfer,2982,2024-05-08,Transfer,credit,failed
Shopping,1702,2024-10-10,Shopping,credit,failed
Travel,6778,2024-11-14,Travel,credit,failed
Food,1514,2024-08-14,Food,debit,failed
Bills,9324,2024-06-30,Bills,debit,success
Shopping,1805,2025-03-25,Shopping,credit,success
Health,5008,2024-09-03,Health,debit,failed
Food,9341,2025-03-20,Food,credit,success
Entertainment,2618,2024-06-07,Entertainment,debit,success
Health,9778,2024-02-12,Health,credit,success
Salary,42612,2025-03-11,Salary,credit,success
Entertainment,9765,2024-07-27,Entertainment,debit,success
Travel,172,2024-03-03,Travel,credit,success
Shopping,4652,2024-09-15,Shopping,debit,success
Food,506,2024-10-10,Food,credit,failed
Shopping,6798,2024-05-29,Shopping,credit,success
Health,5964,2024-08-17,Health,credit,failed
Travel,7944,2024-09-20,Travel,credit,failed
Bills,9805,2025-02-16,Bills,credit,failed
Shopping,5752,2024-09-15,Shopping,credit,success
Salary,50003,2024-02-18,Salary,credit,failed
Entertainment,3893,2024-01-19,Entertainment,credit,success
Bills,1360,2024-03-21,Bills,debit,success
Salary,36546,2024-04-22,Salary,credit,failed
Transfer,2359,2024-12-04,Transfer,debit,success
Shopping,9997,2024-01-11,Shopping,credit,success
Salary,58866,2024-10-13,Salary,credit,success
Food,3823,2025-01-16,Food,credit,success
Bills,200,2025-02-23,Bills,debit,success
Salary,31022,2024-10-26,Salary,credit,success
Bills,9233,2025-01-07,Bills,debit,failed
Entertainment,8810,2024-03-20,Entertainment,debit,failed
Entertainment,7017,2024-12-22,Entertainment,debit,failed
Transfer,6347,2024-10-13,Transfer,credit,success
Shopping,6252,2025-02-05,Shopping,credit,success
Shopping,3175,2024-02-08,Shopping,credit,success
Travel,5507,2025-01-14,Travel,credit,failed
Shopping,2344,2024-02-03,Shopping,credit,failed
Shopping,5075,2024-01-23,Shopping,credit,success
Health,9566,2024-04-17,Health,credit,success
Transfer,3993,2025-03-17,Transfer,debit,failed
Transfer,8466,2024-10-31,Transfer,credit,failed
Health,3991,2025-02-21,Health,debit,failed
Transfer,6820,2024-08-11,Transfer,debit,success
Salary,78398,2024-06-07,Salary,credit,failed
Food,1746,2024-01-23,Food,credit,failed
Entertainment,867,2024-04-10,Entertainment,credit,success
Food,8647,2024-10-19,Food,debit,success
Shopping,670,2025-02-18,Shopping,credit,success
Food,1272,2024-03-21,Food,credit,success
Entertainment,8639,2024-01-10,Entertainment,credit,success
Health,4532,2024-04-25,Health,credit,success
Bills,9972,2024-07-16,Bills,debit,failed
Travel,6847,2024-04-10,Travel,credit,failed
Health,7870,2024-09-17,Health,credit,success
Bills,6624,2024-03-08,Bills,credit,success
Travel,3076,2024-02-21,Travel,credit,success
Entertainment,7550,2024-08-19,Entertainment,credit,failed
Transfer,8513,2024-07-10,Transfer,debit,failed
Food,3077,2024-05-06,Food,debit,failed
Health,3496,2025-03-02,Health,credit,failed
Shopping,6950,2024-08-27,Shopping,credit,failed
Transfer,7115,2024-11-26,Transfer,debit,failed
Salary,48915,2024-02-05,Salary,credit,success
Food,9276,2024-10-24,Food,debit,success
Health,3609,2024-06-02,Health,credit,success
Entertainment,3160,2024-09-22,Entertainment,credit,failed
Salary,69060,2024-05-30,Salary,credit,failed
Entertainment,6783,2024-07-10,Entertainment,debit,failed
Shopping,791,2024-07-13,Shopping,credit,success
Travel,188,2025-01-31,Travel,debit,failed
Food,7947,2024-01-18,Food,credit,success
Entertainment,8603,2024-03-21,Entertainment,credit,failed
Shopping,3359,2024-09-08,Shopping,credit,failed
Shopping,288,2024-05-17,Shopping,debit,failed
Bills,5952,2025-03-13,Bills,credit,failed
Food,3669,2024-02-20,Food,debit,success
Salary,72348,2024-02-16,Salary,credit,failed
Bills,4773,2024-05-08,Bills,credit,failed
Transfer,4032,2024-04-17,Transfer,debit,success
Shopping,5429,2024-07-27,Shopping,credit,failed
Food,291,2024-02-25,Food,debit,success
Salary,46033,2024-04-12,Salary,credit,failed
Entertainment,8228,2024-12-13,Entertainment,credit,failed
Food,1073,2025-01-04,Food,debit,success
Health,5044,2024-03-13,Health,debit,failed
Food,1715,2024-06-22,Food,debit,failed
Bills,5761,2024-09-16,Bills,debit,success
Travel,9276,2024-04-22,Travel,debit,success
Travel,8957,2024-07-21,Travel,debit,failed
Bills,1932,2024-02-24,Bills,credit,failed
Transfer,1272,2024-04-27,Transfer,debit,success
Travel,2216,2024-10-19,Travel,credit,failed
Salary,74848,2025-03-15,Salary,credit,success
